License_Year_License_Number,Business_Name,Street_Address,City,State,Zip_Code,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Number,License_Status,License_Status_Description,Council_District,Council_District_Description,Full_Address,FID,lon,lat,type,loctype,address,north,south,east,west
2015-6631,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6631,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4001,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6630,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6630,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4002,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-663,FIRST BRETHREN CHURCH,4909 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 291-4909,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-25T05:00:00Z,2015,663,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4909 S IRONWOOD DR, SOUTH BEND, IN 46614",4003,-86.2164966,41.625186,premise,rooftop,"4909 s ironwood dr, south bend, in 46614, usa",41.6265583802915,41.6238604197085,-86.2151668697085,-86.2178648302915
2015-6629,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-19T05:00:00Z,2015,6629,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4004,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6628,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-09T04:00:00Z,2015,6628,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4005,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6627,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6627,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4006,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6626,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-16T05:00:00Z,2015,6626,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4007,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6625,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-09T04:00:00Z,2015,6625,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4008,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6624,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6624,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4009,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6618,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6618,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4010,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6617,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-16T05:00:00Z,2015,6617,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4011,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6616,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6616,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4012,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6614,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-06T04:00:00Z,2015,6614,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4013,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6613,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-03T05:00:00Z,2015,6613,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4014,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6612,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-03T05:00:00Z,2015,6612,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4015,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6611,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-03T05:00:00Z,2015,6611,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4016,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6610,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-03T05:00:00Z,2015,6610,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4017,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6604,ONE WORLD CENTER,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 783-6802,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-09T04:00:00Z,2015,6604,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4018,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6603,ONE WORLD CENTER,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 783-6802,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-11T04:00:00Z,2015,6603,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4019,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6591,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-16T04:00:00Z,2015,6591,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4020,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6590,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-05T05:00:00Z,2015,6590,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4021,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-659,FUERBRINGER LANDSCAPE & DESIGN,22530 BRICK RD,SOUTH BEND,IN,46628,(574) 271-9714,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,659,RN,Renewed,NA,NA,"22530 BRICK RD, SOUTH BEND, IN 46628",4022,-86.3045205,41.7365893,premise,rooftop,"22530 brick rd, south bend, in 46628, usa",41.7379383302915,41.73524036970851,-86.3031975697085,-86.30589553029151
2015-6589,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-11T04:00:00Z,2015,6589,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4023,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6588,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-05T05:00:00Z,2015,6588,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4024,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6587,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-10T05:00:00Z,2015,6587,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4025,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6585,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-25T05:00:00Z,2015,6585,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4026,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6584,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-25T05:00:00Z,2015,6584,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4027,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6582,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-25T05:00:00Z,2015,6582,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4028,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6580,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-05T05:00:00Z,2015,6580,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4029,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-7033,EXPRESS CUPCAKES,1150 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 276-0865,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-13T05:00:00Z,2015,7033,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1150 MISHAWAKA AVE, SOUTH BEND, IN 46615",4030,-86.2330296,41.6663988,premise,rooftop,"1150 e mishawaka ave, south bend, in 46615, usa",41.6678309302915,41.6651329697085,-86.23159551970849,-86.2342934802915
2015-6579,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-05T05:00:00Z,2015,6579,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4031,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6578,BETTER WORLD BOOKS,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 855-5731,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-03-11T04:00:00Z,2015,6578,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4032,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6572,DUCOMB CENTER,4161 LATHROP ST,SOUTH BEND,IN,46628,(574) 236-2137,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-19T04:00:00Z,2015,6572,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4161 LATHROP ST, SOUTH BEND, IN 46628",4033,-86.307692,41.7086638,premise,rooftop,"4161 lathrop st, south bend, in 46628, usa",41.7100128802915,41.7073149197085,-86.30643276970848,-86.3091307302915
2015-6554,J & J CANDY,1416 1420 FASSNACHT AVE,SOUTH BEND,IN,46628,(574) 855-1927,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-13T05:00:00Z,2015,6554,RN,Renewed,SB2,COUNCIL DISTRICT 2,"1416 1420 FASSNACHT AVE, SOUTH BEND, IN 46628",4034,-86.2727306,41.6820455,premise,rooftop,"1420 fassnacht ave, south bend, in 46628, usa",41.6834270302915,41.6807290697085,-86.27139101970849,-86.27408898029151
2015-655,MAXI'S FOOD & SPIRITS,114 W IRELAND RD,SOUTH BEND,IN,46614,(574) 291-9181,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-06T05:00:00Z,2015,655,RN,Renewed,SB6,COUNCIL DISTRICT 6,"114 W IRELAND RD, SOUTH BEND, IN 46614",4035,-86.2519962,41.62870040000001,premise,rooftop,"114 w ireland rd, south bend, in 46614, usa",41.63005298029151,41.62735501970851,-86.25064786970849,-86.2533458302915
2015-6537,ROMIE'S RUBBISH REMOVAL,118 S ILLINOIS ST,SOUTH BEND,IN,46619,(574) 234-0521,TRASH,RUBBISH & GARBAGE REMOVAL,2016-04-30T04:00:00Z,2015-06-18T04:00:00Z,2015,6537,1N,1st Renewal Notice,SB2,COUNCIL DISTRICT 2,"118 S ILLINOIS ST, SOUTH BEND, IN 46619",4036,-86.3006249,41.6749659,premise,rooftop,"118 s illinois st, south bend, in 46619, usa",41.6763157302915,41.6736177697085,-86.29939976970849,-86.302097730291493
2015-6536,ANYTIME TOWING AND RECOVERY OF,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 485-3122,VEHREM,VEHICLE REMOVAL,2016-01-31T05:00:00Z,2015-10-12T04:00:00Z,2015,6536,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4037,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6535,"HIMCO WASTE-AWAY SERVICE, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 293-8534,TRASH,RUBBISH & GARBAGE REMOVAL,2016-04-30T04:00:00Z,2015-05-08T04:00:00Z,2015,6535,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4038,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6533,UNIVERSAL ATLANTIC SYSTEMS INC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(800) 421-6661,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6533,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4039,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6532,LEEPER PARK TENNIS CENTER,837 N LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 235-9405,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-04-30T04:00:00Z,2015,6532,RN,Renewed,NA,NA,"837 N LAFAYETTE BLVD, SOUTH BEND, IN 46601",4040,-86.25404019999999,41.6862351,premise,rooftop,"837 n lafayette blvd, south bend, in 46601, usa",41.6875840802915,41.6848861197085,-86.2526068697085,-86.25530483029151
2015-6531,MULBERRY PROPERTY SERVICE,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 302-2770,TRASH,RUBBISH & GARBAGE REMOVAL,2016-04-30T04:00:00Z,2015-06-26T04:00:00Z,2015,6531,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4041,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6526,LESTER CREWS - MILLENNIUM HOME,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(877) 356-6556,PEDDLR,PEDDLER & CANVASSER,2016-01-31T05:00:00Z,2015-10-09T04:00:00Z,2015,6526,VO,Voided,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4042,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6524,ONE STOP #1,209 W SAMPLE ST,SOUTH BEND,IN,46601,(574) 246-9740,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-05-15T04:00:00Z,2015,6524,RN,Renewed,SB6,COUNCIL DISTRICT 6,"209 W SAMPLE ST, SOUTH BEND, IN 46601",4043,-86.25220619999999,41.6656584,premise,geometric_center,"209 w sample st, south bend, in 46601, usa",41.66693308029149,41.66423511970849,-86.25081801970849,-86.2535159802915
2015-6523,SOUTH SIDE FOOD MART,1637 KEMBLE AVE,SOUTH BEND,IN,46613,(574) 222-2372,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-23T04:00:00Z,2015,6523,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1637 KEMBLE AVE, SOUTH BEND, IN 46613",4044,-86.26390590000001,41.6564929,premise,rooftop,"1637 kemble ave, south bend, in 46613, usa",41.65785543029149,41.6551574697085,-86.2624800697085,-86.26517803029151
2015-6521,AROUND THE CORNER AUTO SERVICE,6103 US 31 S,SOUTH BEND,IN,46614,(574) 244-0003,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-03-17T04:00:00Z,2015,6521,RN,Renewed,NA,NA,"6103 US 31 S, SOUTH BEND, IN 46614",4045,-86.25383260000001,41.6108904,street_address,rooftop,"6103 us-31, south bend, in 46614, usa",41.6122189302915,41.6095209697085,-86.25233286970851,-86.25503083029152
2015-652,EPISCOPAL CATHEDRAL OF ST JAME,117 N LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 232-4837,PARK,PUBLIC PARKING FACILITY,2016-01-31T05:00:00Z,2015-04-15T04:00:00Z,2015,652,RN,Renewed,SB2,COUNCIL DISTRICT 2,"117 N LAFAYETTE BLVD, SOUTH BEND, IN 46601",4046,-86.2539482,41.6769398,premise,rooftop,"117 n lafayette blvd, south bend, in 46601, usa",41.6782728302915,41.67557486970851,-86.25250216970849,-86.2552001302915
2015-6518,MELALEUCA SECURITY INC.,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(877) 760-3444,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6518,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4047,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6513,BICYCLE TATTOOING LLC,117 N MAIN ST,SOUTH BEND,IN,46601,(574) 282-8190,TATEST,TATTOO AND BODY PIERCING ESTABLISHMENTS,2016-01-31T05:00:00Z,2015-04-07T04:00:00Z,2015,6513,RN,Renewed,SB2,COUNCIL DISTRICT 2,"117 N MAIN ST, SOUTH BEND, IN 46601",4048,-86.2523937,41.6769962,street_address,rooftop,"117 n main st, south bend, in 46601, usa",41.6783589802915,41.6756610197085,-86.2510451197085,-86.25374308029151
2015-6510,LEEDS WEST INDIANA,525 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2437,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-04-17T04:00:00Z,2015,6510,RN,Renewed,NA,NA,"525 S MICHIGAN ST, SOUTH BEND, IN 46601",4049,-86.2506959,41.6700323,premise,rooftop,"525 s michigan st, south bend, in 46601, usa",41.671365280291504,41.6686673197085,-86.24927091970848,-86.2519688802915
2015-6502,RADIO SHACK - TRADE AND SAVE L,1290 E IRELAND RD BLDG,SOUTH BEND,IN,46614,(817) 415-3116,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-03-30T04:00:00Z,2015,6502,IN,Incative and no longer licensed,SB5,COUNCIL DISTRICT 5,"1290 E IRELAND RD BLDG, SOUTH BEND, IN 46614",4050,-86.22982379999999,41.6280481,premise,geometric_center,"1290 e ireland rd, south bend, in 46614, usa",41.62944419999999,41.62490830000001,-86.2280138,-86.23477340000001
