License_Year_License_Number,Business_Name,Street_Address,City,State,Zip_Code,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Number,License_Status,License_Status_Description,Council_District,Council_District_Description,Full_Address,FID,lon,lat,type,loctype,address,north,south,east,west
2015-6501,RADIO SHACK - TRADE AND SAVE L,4618 W WESTERN AVE,SOUTH BEND,IN,466192304,(817) 415-3116,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-03-30T04:00:00Z,2015,6501,IN,Incative and no longer licensed,SB6,COUNCIL DISTRICT 6,"4618 W WESTERN AVE, SOUTH BEND, IN 466192304",4051,-86.3122405,41.6704735,street_address,rooftop,"4618 w western ave, south bend, in 46619, usa",41.6718124802915,41.66911451970851,-86.3108731197085,-86.31357108029151
2015-5814,THE FRIENDLY CONFINES,1502 DUNHAM ST,SOUTH BEND,IN,46619,(574) 217-7041,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-05-22T04:00:00Z,2015,5814,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1502 DUNHAM ST, SOUTH BEND, IN 46619",4052,-86.27217189999999,41.6665432,street_address,range_interpolated,"1502 dunham st, south bend, in 46619, usa",41.6679635802915,41.6652656197085,-86.2708249697085,-86.2735229302915
2015-6497,BONTRAGER SECURITY SOLUTIONS L,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 971-1821,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-01-23T05:00:00Z,2015,6497,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4053,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-607,"TOM'S CAR CARE CENTER, INC",3201 SUGAR MAPLE BUSINESS CT,SOUTH BEND,IN,46628,(574) 289-2121,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,607,RN,Renewed,SB1,COUNCIL DISTRICT 1,"3201 SUGAR MAPLE BUSINESS CT, SOUTH BEND, IN 46628",4054,-86.294478,41.721137,street_address,rooftop,"3201 sugar maple business ct, south bend, in 46628, usa",41.72250958029149,41.71981161970849,-86.2930777697085,-86.29577573029151
2015-6064,GRANGER JEWELRY AND PAWN,2050 E IRELAND RD,SOUTH BEND,IN,46614,(574) 217-8600,PRECM,PRECIOUS METAL DEALERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6064,RN,Renewed,SB5,COUNCIL DISTRICT 5,"2050 E IRELAND RD, SOUTH BEND, IN 46614",4055,-86.21674399999999,41.6288902,premise,rooftop,"2050 e ireland rd, south bend, in 46614, usa",41.6302235802915,41.6275256197085,-86.21530911970851,-86.21800708029151
2015-6052,JAVIER'S BISTRO,2007 MIAMI ST,SOUTH BEND,IN,46614,(574) 222-2917,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-05-05T04:00:00Z,2015,6052,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2007 MIAMI ST, SOUTH BEND, IN 46614",4056,-86.2351407,41.6534889,premise,rooftop,"2007 miami st, south bend, in 46613, usa",41.6548376302915,41.6521396697085,-86.23373451970849,-86.2364324802915
2015-605,DC TIRE & AUTO,2623 LINCOLN WAY W,SOUTH BEND,IN,466281937,(574) 234-8473,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-04-21T04:00:00Z,2015,605,IN,Incative and no longer licensed,NA,NA,"2623 LINCOLN WAY W, SOUTH BEND, IN 466281937",4057,-86.2868761,41.6896238,premise,rooftop,"2623 lincoln way w, south bend, in 46628, usa",41.6909755302915,41.6882775697085,-86.28551181970849,-86.28820978029151
2015-604,DC TIRE & AUTO,4443 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 235-8473,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-05-21T04:00:00Z,2015,604,RN,Renewed,SB2,COUNCIL DISTRICT 2,"4443 W WESTERN AVE, SOUTH BEND, IN 46619",4058,-86.30971249999999,41.6722958,premise,rooftop,"4443 w western ave, south bend, in 46619, usa",41.6735972302915,41.6708992697085,-86.3083785197085,-86.3110764802915
2015-6027,GRANGER JEWELRY AND PAWN,2050 E IRELAND RD,SOUTH BEND,IN,46614,(574) 217-8600,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6027,RN,Renewed,SB5,COUNCIL DISTRICT 5,"2050 E IRELAND RD, SOUTH BEND, IN 46614",4059,-86.21674399999999,41.6288902,premise,rooftop,"2050 e ireland rd, south bend, in 46614, usa",41.6302235802915,41.6275256197085,-86.21530911970851,-86.21800708029151
2015-6015,110 E ANGELA BLVD,110 E ANGELA BLVD,SOUTH BEND,IN,46617,(612) 804-9902,LPARKU,LAWN PARK UNDER 10 SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,6015,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"110 E ANGELA BLVD, SOUTH BEND, IN 46617",4060,-86.2494225,41.6938921,premise,rooftop,"110 e angela blvd, south bend, in 46617, usa",41.6953397302915,41.6926417697085,-86.2480735697085,-86.2507715302915
2015-6012,1622 SCOTTWOOD DR,1622 SCOTTSWOOD DR,SOUTH BEND,IN,46617,(574) 229-9572,LPARKU,LAWN PARK UNDER 10 SPACES,2015-11-18T05:00:00Z,2015-09-03T04:00:00Z,2015,6012,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1622 SCOTTSWOOD DR, SOUTH BEND, IN 46617",4061,-86.2235354,41.6902671,premise,rooftop,"1622 scottswood dr, south bend, in 46617, usa",41.6916159802915,41.6889180197085,-86.22216711970849,-86.2248650802915
2015-711,MARTIN'S #8 - DON'T USE,4401 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 288-4854,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-06T05:00:00Z,2015,711,RN,Renewed,SB2,COUNCIL DISTRICT 2,"4401 W WESTERN AVE, SOUTH BEND, IN 46619",4062,-86.3072866,41.6728425,premise,rooftop,"4401 w western ave, south bend, in 46619, usa",41.6741307302915,41.6714327697085,-86.3063257697085,-86.3090237302915
2015-6010,634 E. ANGELA BLVD,634 E ANGELA BLVD,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2015-11-25T05:00:00Z,2015-09-03T04:00:00Z,2015,6010,RN,Renewed,SB4,COUNCIL DISTRICT 4,"634 E ANGELA BLVD, SOUTH BEND, IN 46617",4063,-86.24121,41.6925925,premise,rooftop,"634 e angela blvd, south bend, in 46617, usa",41.6940304802915,41.6913325197085,-86.2398610197085,-86.2425589802915
2015-6009,1124 N EDDY ST,1124 N EDDY ST,SOUTH BEND,IN,46617,(574) 850-4080,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,6009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1124 N EDDY ST, SOUTH BEND, IN 46617",4064,-86.2350417,41.69083089999999,premise,rooftop,"1124 n eddy st, south bend, in 46617, usa",41.69217218029149,41.68947421970849,-86.2338808197085,-86.23657878029151
2015-5998,1104 NOTRE DAME AVE,1104 N NOTRE DAME AVE,SOUTH BEND,IN,46617,(574) 234-2348,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,5998,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1104 N NOTRE DAME AVE, SOUTH BEND, IN 46617",4065,-86.2378612,41.6900553,premise,rooftop,"1104 n notre dame ave, south bend, in 46617, usa",41.69140738029149,41.68870941970849,-86.23664481970849,-86.2393427802915
2015-5997,1126 N FRANCES ST,1126 N FRANCES ST,SOUTH BEND,IN,46617,(574) 289-4932,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,5997,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1126 N FRANCES ST, SOUTH BEND, IN 46617",4066,-86.23663640000001,41.6909596,premise,rooftop,"1126 n frances st, south bend, in 46617, usa",41.69230668029149,41.6896087197085,-86.2354697697085,-86.23816773029151
2015-5996,1219 N GARLAND ST,1219 N GARLAND ST,SOUTH BEND,IN,46617,(574) 273-0978,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,5996,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1219 N GARLAND ST, SOUTH BEND, IN 46617",4067,-86.2274782,41.6914801,premise,rooftop,"1219 n garland st, south bend, in 46617, usa",41.6928339302915,41.6901359697085,-86.22596376970849,-86.2286617302915
2015-5995,1323 WHITE OAK DR,1323 WHITE OAK DR,SOUTH BEND,IN,46617,(000) 000-0000,LPARKO,LAWN PARK 10 OR MORE SPACES,2015-11-15T05:00:00Z,2015-09-03T04:00:00Z,2015,5995,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1323 WHITE OAK DR, SOUTH BEND, IN 46617",4068,-86.2252951,41.6930789,premise,rooftop,"1323 white oak dr, south bend, in 46617, usa",41.69435678029149,41.69165881970849,-86.22397251970851,-86.22667048029152
2015-598,CORBY FABRIC CARE CENTER,1011 CORBY BLVD,SOUTH BEND,IN,46617,(574) 287-3662,SSLAUN,SELF SERVICE LAUNDRY,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,598,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1011 CORBY BLVD, SOUTH BEND, IN 46617",4069,-86.235976,41.6873309,premise,rooftop,"1011 corby blvd, south bend, in 46617, usa",41.6886731802915,41.6859752197085,-86.23463176970849,-86.2373297302915
2015-5972,"ACADIAN MONITORING SERVICES, L",1 OUT OF AREA AVE,SOUTH BEND,IN,46601,(888) 558-9911,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-01-23T05:00:00Z,2015,5972,RN,Renewed,NA,NA,"1 OUT OF AREA AVE, SOUTH BEND, IN 46601",4070,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-5970,OH MAMMA'S ON THE AVENUE,1202 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 276-6918,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-05-11T04:00:00Z,2015,5970,RN,Renewed,NA,NA,"1202 MISHAWAKA AVE, SOUTH BEND, IN 46615",4071,-86.23256280000001,41.66619499999999,street_address,rooftop,"1202 e mishawaka ave, south bend, in 46615, usa",41.6676098302915,41.6649118697085,-86.23134971970849,-86.2340476802915
2015-5945,FASHION DELCID,2214 W WESTERN AVE,SOUTH BEND,IN,466193313,(574) 440-2909,OPARPV,OPEN AIR VENDORS PRIVATE,2016-01-31T05:00:00Z,2015-02-03T05:00:00Z,2015,5945,1N,1st Renewal Notice,SB6,COUNCIL DISTRICT 6,"2214 W WESTERN AVE, SOUTH BEND, IN 466193313",4072,-86.28181959999999,41.6718059,premise,rooftop,"2214 w western ave, south bend, in 46619, usa",41.6733033302915,41.6706053697085,-86.2804717197085,-86.28316968029151
2015-5940,MUZIPASI'S AUTO CARE,1640 S OLIVE ST,SOUTH BEND,IN,46613,(574) 388-4716,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-06-02T04:00:00Z,2015,5940,IR,In Review,SB6,COUNCIL DISTRICT 6,"1640 S OLIVE ST, SOUTH BEND, IN 46613",4073,-86.2827774,41.65590760000001,premise,rooftop,"1640 s olive st, south bend, in 46619, usa",41.6572566302915,41.6545586697085,-86.28150216970849,-86.28420013029151
2015-5934,CHECKVIEW CORPORATION,1 OUT OF AREA AVE,SOUTH BEND,IN,46601,(800) 777-0904,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-05-04T04:00:00Z,2015,5934,IN,Incative and no longer licensed,NA,NA,"1 OUT OF AREA AVE, SOUTH BEND, IN 46601",4074,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-5924,PIZZA HUT #34137,3697 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 273-0678,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-03T05:00:00Z,2015,5924,RN,Renewed,SB1,COUNCIL DISTRICT 1,"3697 PORTAGE AVE, SOUTH BEND, IN 46628",4075,-86.29000359999999,41.7271672,premise,rooftop,"3697 portage ave, south bend, in 46628, usa",41.72863153029149,41.72593356970849,-86.2887633197085,-86.29146128029151
2015-5920,CLEVE'S TRANSMISSION & CLUTCH,4902 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 876-6026,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-09-03T04:00:00Z,2015,5920,RN,Renewed,SB6,COUNCIL DISTRICT 6,"4902 W WESTERN AVE, SOUTH BEND, IN 46619",4076,-86.3169935,41.67144130000001,premise,rooftop,"4902 w western ave, south bend, in 46619, usa",41.6729525802915,41.6702546197085,-86.3156445697085,-86.31834253029152
2015-592,ADT LLC DBA PROTECTION ONE,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(561) 322-4878,ALARM,ALARM AGENT,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,592,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4077,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-5916,NORTH SYSTEMS TECHNOLOGY,321 S MAIN ST,SOUTH BEND,IN,46601,(574) 288-5448,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,5916,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"321 S MAIN ST, SOUTH BEND, IN 46601",4078,-86.2522453,41.6728016,premise,rooftop,"321 s main st, south bend, in 46601, usa",41.67410058029149,41.67140261970849,-86.2509159197085,-86.25361388029151
2015-5915,4TRON ENTERPRISE INC.,301 S LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 288-5448,SECOND,SECOND HAND DEALERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,5915,RN,Renewed,SB1,COUNCIL DISTRICT 1,"301 S LAFAYETTE BLVD, SOUTH BEND, IN 46601",4079,-86.253948,41.6734599,premise,rooftop,"301 s lafayette blvd, south bend, in 46601, usa",41.6748117802915,41.6721138197085,-86.25238921970849,-86.2550871802915
2015-5913,DON JUAN CANTINA & GRILL,3421 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 339-3922,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-04-15T04:00:00Z,2015,5913,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3421 W SAMPLE ST, SOUTH BEND, IN 46619",4080,-86.2969809,41.6649672,premise,rooftop,"3421 w sample st, south bend, in 46619, usa",41.6662272302915,41.6635292697085,-86.29561751970849,-86.29831548029149
2015-5910,IN YER FACE BBQ,1418 N ELMER ST,SOUTH BEND,IN,46628,(574) 229-7401,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-06T05:00:00Z,2015,5910,VO,Voided,SB1,COUNCIL DISTRICT 1,"1418 N ELMER ST, SOUTH BEND, IN 46628",4081,-86.2823313,41.6943367,premise,rooftop,"1418 n elmer st, south bend, in 46628, usa",41.6956795802915,41.6929816197085,-86.2810639697085,-86.2837619302915
2015-5909,LINDEN GRILL - DON'T USE,110 N MAIN ST,SOUTH BEND,IN,46601,(574) 246-0250,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-07-22T04:00:00Z,2015,5909,IN,Incative and no longer licensed,NA,NA,"110 N MAIN ST, SOUTH BEND, IN 46601",4082,-86.2518211,41.676787,street_address,rooftop,"110 n main st, south bend, in 46601, usa",41.6781103302915,41.6754123697085,-86.25056171970849,-86.2532596802915
2015-5908,THE BRICK LLC,1145 NORTHSIDE BLVD,SOUTH BEND,IN,46615,(574) 485-1513,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-19T05:00:00Z,2015,5908,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1145 NORTHSIDE BLVD, SOUTH BEND, IN 46615",4083,-86.2333877,41.6642808,premise,rooftop,"1145 northside blvd, south bend, in 46615, usa",41.6656250802915,41.6629271197085,-86.23216001970849,-86.2348579802915
2015-5907,WOOCHI JAPANESE FUSION & BAR,123 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 289-2222,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-11T04:00:00Z,2015,5907,RN,Renewed,SB2,COUNCIL DISTRICT 2,"123 W WASHINGTON ST, SOUTH BEND, IN 46601",4084,-86.2513929,41.6766681,street_address,rooftop,"123 w washington st, south bend, in 46601, usa",41.6778746802915,41.6751767197085,-86.2500571197085,-86.25275508029151
2015-5900,"PURPLE PORCH CO-OP, INC",123 N HILL ST,SOUTH BEND,IN,46617,(574) 287-6724,OPARPV,OPEN AIR VENDORS PRIVATE,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,5900,RN,Renewed,NA,NA,"123 N HILL ST, SOUTH BEND, IN 46617",4085,-86.24316139999999,41.6772274,premise,rooftop,"123 n hill st, south bend, in 46617, usa",41.6786323802915,41.6759344197085,-86.2418124197085,-86.2445103802915
2015-5898,AARON RYAN,614 MARQUETTE AVE,SOUTH BEND,IN,46617,(574) 217-7928,TA,TATTOO AND PIERCING ARTIST,2016-01-31T05:00:00Z,2015-05-29T04:00:00Z,2015,5898,RN,Renewed,SB4,COUNCIL DISTRICT 4,"614 MARQUETTE AVE, SOUTH BEND, IN 46617",4086,-86.2599852,41.6913502,premise,rooftop,"614 marquette ave, south bend, in 46617, usa",41.69276533029149,41.69006736970849,-86.25863621970848,-86.2613341802915
2015-5891,BRUNOS PIZZA,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 247-9999,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-04-30T04:00:00Z,2015,5891,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4505 AMERITECH DR, SOUTH BEND, IN 46628",4087,-86.33605209999999,41.7387406,premise,rooftop,"4505 ameritech dr, south bend, in 46628, usa",41.74005083029149,41.7373528697085,-86.3347231197085,-86.33742108029152
2015-589,DALE'S SERVICE CENTER,1575 N BENDIX DR,SOUTH BEND,IN,46628,(574) 289-9636,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-03-17T04:00:00Z,2015,589,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1575 N BENDIX DR, SOUTH BEND, IN 46628",4088,-86.29423849999999,41.6955355,premise,rooftop,"1575 n bendix dr, south bend, in 46628, usa",41.6968227802915,41.6941248197085,-86.29288951970848,-86.2955874802915
2015-5889,"SMG F&B, LLC  (DBA SAVOR) @ CE",120 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(610) 729-7886,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-07T04:00:00Z,2015,5889,RN,Renewed,SB4,COUNCIL DISTRICT 4,"120 S SAINT JOSEPH ST, SOUTH BEND, IN 46601",4089,-86.2475638,41.67666759999999,premise,rooftop,"120 s st joseph st, south bend, in 46601, usa",41.6779097802915,41.6752118197085,-86.24663631970849,-86.2493342802915
2015-5888,DAVE TALBOOM LAWNCARE INC,1 OUT OF AREA AVE,SOUTH BEND,IN,46601,(574) 234-4883,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00Z,2015-04-07T04:00:00Z,2015,5888,RN,Renewed,NA,NA,"1 OUT OF AREA AVE, SOUTH BEND, IN 46601",4090,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-5887,DUNKIN DONUTS,4336 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 387-4949,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-11T05:00:00Z,2015,5887,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4336 S MICHIGAN ST, SOUTH BEND, IN 46614",4091,-86.25018399999999,41.6303,premise,rooftop,"4336 s michigan st, south bend, in 46614, usa",41.6317001302915,41.6290021697085,-86.2490810697085,-86.2517790302915
2015-5873,NOEL ULLERY,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 383-1903,TA,TATTOO AND PIERCING ARTIST,2016-01-31T05:00:00Z,2015-03-19T04:00:00Z,2015,5873,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4092,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-587,B AND B FLORAL ADVENTURES,26160 LAKE LN,SOUTH BEND,IN,46619,(574) 289-2017,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00Z,2015-01-27T05:00:00Z,2015,587,RN,Renewed,NA,NA,"26160 LAKE LN, SOUTH BEND, IN 46619",4093,-86.3737671,41.6787843,premise,rooftop,"26160 lake ln, south bend, in 46619, usa",41.68020963029149,41.6775116697085,-86.37240921970852,-86.37510718029152
2015-586,TLC TREE REMOVAL,3204 S SAINT JOSEPH ST,SOUTH BEND,IN,46614,(574) 291-0233,ARBOR,ARBORIST/TREE SERVICE,2016-01-31T05:00:00Z,2015-01-27T05:00:00Z,2015,586,RN,Renewed,SB5,COUNCIL DISTRICT 5,"3204 S SAINT JOSEPH ST, SOUTH BEND, IN 46614",4094,-86.24616329999999,41.6411601,premise,rooftop,"3204 s st joseph st, south bend, in 46614, usa",41.6425090802915,41.6398111197085,-86.2449074197085,-86.2476053802915
2015-5847,DAVID E MARTIN,110 N WILLIAM ST,SOUTH BEND,IN,46601,(574) 440-2184,TA,TATTOO AND PIERCING ARTIST,2016-01-31T05:00:00Z,2015-04-07T04:00:00Z,2015,5847,RN,Renewed,NA,NA,"110 N WILLIAM ST, SOUTH BEND, IN 46601",4095,-86.2556889,41.676856,premise,rooftop,"110 n william st, south bend, in 46601, usa",41.67821763029149,41.6755196697085,-86.2543770197085,-86.2570749802915
2015-5844,ZIEBART,2627 S MAIN ST,SOUTH BEND,IN,46614,(574) 232-2073,AUTO,AUTOMOTIVE REPAIR & SVC,2016-01-31T05:00:00Z,2015-03-20T04:00:00Z,2015,5844,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2627 S MAIN ST, SOUTH BEND, IN 46614",4096,-86.2518314,41.646754,premise,rooftop,"2627 s main st, south bend, in 46614, usa",41.6482872302915,41.6455892697085,-86.25033281970849,-86.2530307802915
2015-5843,PUERTO VALLARTA EXPRESS,415 N HICKORY RD,SOUTH BEND,IN,46615,(574) 234-7225,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-04-21T04:00:00Z,2015,5843,RN,Renewed,SB4,COUNCIL DISTRICT 4,"415 N HICKORY RD, SOUTH BEND, IN 46615",4097,-86.1972809,41.6816444,street_address,rooftop,"415 n hickory rd, south bend, in 46615, usa",41.6830397302915,41.68034176970851,-86.19618336970849,-86.1988813302915
2015-5842,STARBUCKS - DONT USE,123 N DR MARTIN LUTHER KING JR,SOUTH BEND,IN,46601,(574) 245-7274,RESTZ,RESTAURANTS N-Z,2016-03-31T04:00:00Z,2015-03-26T04:00:00Z,2015,5842,RN,Renewed,SB2,COUNCIL DISTRICT 2,"123 N DR MARTIN LUTHER KING JR, SOUTH BEND, IN 46601",4098,-86.2493494,41.6767646,premise,rooftop,"123 n doctor m.l.k. jr blvd, south bend, in 46601, usa",41.6784147802915,41.6757168197085,-86.24818381970849,-86.2508817802915
2015-5831,CAMBODIAN THAI RESTAURANT,235 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2877,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-03-16T04:00:00Z,2015,5831,RN,Renewed,SB2,COUNCIL DISTRICT 2,"235 S MICHIGAN ST, SOUTH BEND, IN 46601",4099,-86.2505357,41.6738262,street_address,rooftop,"235 s michigan st, south bend, in 46601, usa",41.6751069802915,41.6724090197085,-86.2491655697085,-86.2518635302915
